temperature,time,stoichiometry,production_rate_(g/hr),yield,priority,round
123,15,0.655,PENDING,PENDING,0.0,PENDING
123,15,0.63,PENDING,PENDING,0.0,PENDING
123,15,0.605,PENDING,PENDING,0.0,PENDING
123,15,0.58,PENDING,PENDING,0.0,PENDING
123,15,0.555,PENDING,PENDING,0.0,PENDING
123,15,0.53,PENDING,PENDING,0.0,PENDING
123,15,0.505,PENDING,PENDING,0.0,PENDING
123,15,0.48,PENDING,PENDING,0.0,PENDING
123,15,0.455,PENDING,PENDING,0.0,PENDING
123,15,0.43,PENDING,PENDING,0.0,PENDING
123,15,0.405,PENDING,PENDING,0.0,PENDING
123,15,0.38,PENDING,PENDING,0.0,PENDING
123,15,0.355,PENDING,PENDING,0.0,PENDING
123,15,0.33,PENDING,PENDING,0.0,PENDING
123,13,0.655,PENDING,PENDING,0.0,PENDING
123,13,0.63,PENDING,PENDING,0.0,PENDING
123,13,0.605,PENDING,PENDING,0.0,PENDING
123,13,0.58,PENDING,PENDING,0.0,PENDING
123,13,0.555,PENDING,PENDING,0.0,PENDING
123,13,0.53,PENDING,PENDING,0.0,PENDING
123,13,0.505,PENDING,PENDING,0.0,PENDING
123,13,0.48,PENDING,PENDING,0.0,PENDING
123,13,0.455,PENDING,PENDING,0.0,PENDING
123,13,0.43,PENDING,PENDING,0.0,PENDING
123,13,0.405,PENDING,PENDING,0.0,PENDING
123,13,0.38,PENDING,PENDING,0.0,PENDING
123,13,0.355,PENDING,PENDING,0.0,PENDING
123,13,0.33,PENDING,PENDING,0.0,PENDING
123,11,0.655,PENDING,PENDING,0.0,PENDING
123,11,0.63,PENDING,PENDING,0.0,PENDING
123,11,0.605,PENDING,PENDING,0.0,PENDING
123,11,0.58,PENDING,PENDING,0.0,PENDING
123,11,0.555,PENDING,PENDING,0.0,PENDING
123,11,0.53,PENDING,PENDING,0.0,PENDING
123,11,0.505,PENDING,PENDING,0.0,PENDING
123,11,0.48,PENDING,PENDING,0.0,PENDING
123,11,0.455,PENDING,PENDING,0.0,PENDING
123,11,0.43,PENDING,PENDING,0.0,PENDING
123,11,0.405,PENDING,PENDING,0.0,PENDING
123,11,0.38,PENDING,PENDING,0.0,PENDING
123,11,0.355,PENDING,PENDING,0.0,PENDING
123,11,0.33,PENDING,PENDING,0.0,PENDING
123,9,0.655,PENDING,PENDING,0.0,PENDING
123,9,0.63,PENDING,PENDING,0.0,PENDING
123,9,0.605,PENDING,PENDING,0.0,PENDING
123,9,0.58,PENDING,PENDING,0.0,PENDING
123,9,0.555,PENDING,PENDING,0.0,PENDING
123,9,0.53,PENDING,PENDING,0.0,PENDING
123,9,0.505,PENDING,PENDING,0.0,PENDING
123,9,0.48,PENDING,PENDING,0.0,PENDING
123,9,0.455,PENDING,PENDING,0.0,PENDING
123,9,0.43,PENDING,PENDING,0.0,PENDING
123,9,0.405,PENDING,PENDING,0.0,PENDING
123,9,0.38,PENDING,PENDING,0.0,PENDING
123,9,0.355,PENDING,PENDING,0.0,PENDING
123,9,0.33,PENDING,PENDING,0.0,PENDING
123,7,0.655,PENDING,PENDING,0.0,PENDING
123,7,0.63,PENDING,PENDING,0.0,PENDING
123,7,0.605,PENDING,PENDING,0.0,PENDING
123,7,0.58,PENDING,PENDING,0.0,PENDING
123,7,0.555,PENDING,PENDING,0.0,PENDING
123,7,0.53,PENDING,PENDING,0.0,PENDING
123,7,0.505,PENDING,PENDING,0.0,PENDING
123,7,0.48,PENDING,PENDING,0.0,PENDING
123,7,0.455,PENDING,PENDING,0.0,PENDING
123,7,0.43,PENDING,PENDING,0.0,PENDING
123,7,0.405,PENDING,PENDING,0.0,PENDING
123,7,0.38,PENDING,PENDING,0.0,PENDING
123,7,0.355,PENDING,PENDING,0.0,PENDING
123,7,0.33,PENDING,PENDING,0.0,PENDING
123,5,0.655,PENDING,PENDING,0.0,PENDING
123,5,0.63,PENDING,PENDING,0.0,PENDING
123,5,0.605,PENDING,PENDING,0.0,PENDING
123,5,0.58,PENDING,PENDING,0.0,PENDING
123,5,0.555,PENDING,PENDING,0.0,PENDING
123,5,0.53,PENDING,PENDING,0.0,PENDING
123,5,0.505,PENDING,PENDING,0.0,PENDING
123,5,0.48,PENDING,PENDING,0.0,PENDING
123,5,0.455,PENDING,PENDING,0.0,PENDING
123,5,0.43,PENDING,PENDING,0.0,PENDING
123,5,0.405,PENDING,PENDING,0.0,PENDING
123,5,0.38,PENDING,PENDING,0.0,PENDING
123,5,0.355,PENDING,PENDING,0.0,PENDING
123,5,0.33,PENDING,PENDING,0.0,PENDING
123,3,0.655,PENDING,PENDING,0.0,PENDING
123,3,0.63,PENDING,PENDING,0.0,PENDING
123,3,0.605,PENDING,PENDING,0.0,PENDING
123,3,0.58,PENDING,PENDING,0.0,PENDING
123,3,0.555,PENDING,PENDING,0.0,PENDING
123,3,0.53,PENDING,PENDING,0.0,PENDING
123,3,0.505,PENDING,PENDING,0.0,PENDING
123,3,0.48,PENDING,PENDING,0.0,PENDING
123,3,0.455,PENDING,PENDING,0.0,PENDING
123,3,0.43,PENDING,PENDING,0.0,PENDING
123,3,0.405,PENDING,PENDING,0.0,PENDING
123,3,0.38,PENDING,PENDING,0.0,PENDING
123,3,0.355,PENDING,PENDING,0.0,PENDING
123,3,0.33,PENDING,PENDING,0.0,PENDING
123,1,0.655,PENDING,PENDING,0.0,PENDING
123,1,0.63,PENDING,PENDING,0.0,PENDING
123,1,0.605,PENDING,PENDING,0.0,PENDING
123,1,0.58,PENDING,PENDING,0.0,PENDING
123,1,0.555,PENDING,PENDING,0.0,PENDING
123,1,0.53,PENDING,PENDING,0.0,PENDING
123,1,0.505,PENDING,PENDING,0.0,PENDING
123,1,0.48,PENDING,PENDING,0.0,PENDING
123,1,0.455,PENDING,PENDING,0.0,PENDING
123,1,0.43,PENDING,PENDING,0.0,PENDING
123,1,0.405,PENDING,PENDING,0.0,PENDING
123,1,0.38,PENDING,PENDING,0.0,PENDING
123,1,0.355,PENDING,PENDING,0.0,PENDING
123,1,0.33,PENDING,PENDING,0.0,PENDING
120,43,0.655,PENDING,PENDING,0.0,PENDING
120,43,0.63,PENDING,PENDING,0.0,PENDING
120,43,0.605,PENDING,PENDING,0.0,PENDING
120,43,0.58,PENDING,PENDING,0.0,PENDING
120,43,0.555,PENDING,PENDING,0.0,PENDING
120,43,0.53,PENDING,PENDING,0.0,PENDING
120,43,0.505,PENDING,PENDING,0.0,PENDING
120,43,0.48,PENDING,PENDING,0.0,PENDING
120,43,0.455,PENDING,PENDING,0.0,PENDING
120,43,0.43,PENDING,PENDING,0.0,PENDING
120,43,0.405,PENDING,PENDING,0.0,PENDING
120,43,0.38,PENDING,PENDING,0.0,PENDING
120,43,0.355,PENDING,PENDING,0.0,PENDING
120,43,0.33,PENDING,PENDING,0.0,PENDING
120,41,0.655,PENDING,PENDING,0.0,PENDING
120,41,0.63,PENDING,PENDING,0.0,PENDING
120,41,0.605,PENDING,PENDING,0.0,PENDING
120,41,0.58,PENDING,PENDING,0.0,PENDING
120,41,0.555,PENDING,PENDING,0.0,PENDING
120,41,0.53,PENDING,PENDING,0.0,PENDING
120,41,0.505,PENDING,PENDING,0.0,PENDING
120,41,0.48,PENDING,PENDING,0.0,PENDING
120,41,0.455,PENDING,PENDING,0.0,PENDING
120,41,0.43,PENDING,PENDING,0.0,PENDING
120,41,0.405,PENDING,PENDING,0.0,PENDING
120,41,0.38,PENDING,PENDING,0.0,PENDING
120,41,0.355,PENDING,PENDING,0.0,PENDING
120,41,0.33,PENDING,PENDING,0.0,PENDING
120,39,0.655,PENDING,PENDING,0.0,PENDING
120,39,0.63,PENDING,PENDING,0.0,PENDING
120,39,0.605,PENDING,PENDING,0.0,PENDING
120,39,0.58,PENDING,PENDING,0.0,PENDING
120,39,0.555,PENDING,PENDING,0.0,PENDING
120,39,0.53,PENDING,PENDING,0.0,PENDING
120,39,0.505,PENDING,PENDING,0.0,PENDING
120,39,0.48,PENDING,PENDING,0.0,PENDING
